type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2025-11-09 09:14:03,51.52807294,0.09380017,3.79,42.283,,0.000,,28,44,,Bus driver change
W,2025-11-09 09:28:57,51.53983340,0.07959848,10.55,53.320,,0.000,,27,43,,Train
T,2025-11-09 09:11:40,51.52831419,0.10418164,3.79,38.983,,0.000,,29,44,20251109-091140,GPS Logger: 20251109-091140 - Bus-train
T,2025-11-09 09:11:41,51.52831182,0.10418557,3.79,38.475,,0.000,,28,44,,
T,2025-11-09 09:11:42,51.52830957,0.10418811,3.79,38.340,,0.000,,28,44,,
T,2025-11-09 09:11:43,51.52830980,0.10418995,3.79,38.136,,0.000,,28,44,,
T,2025-11-09 09:11:44,51.52830729,0.10419353,3.79,37.846,,0.000,,28,44,,
T,2025-11-09 09:11:45,51.52830622,0.10419636,3.79,37.733,,0.000,,28,44,,
T,2025-11-09 09:11:46,51.52830620,0.10419825,3.79,37.671,,0.000,,27,44,,
T,2025-11-09 09:11:47,51.52830664,0.10420253,3.79,37.690,,0.000,,27,44,,
T,2025-11-09 09:11:48,51.52830771,0.10420628,3.79,37.615,,0.000,,28,44,,
T,2025-11-09 09:11:49,51.52831085,0.10419853,3.79,37.355,,0.630,275,28,44,,
T,2025-11-09 09:11:50,51.52831105,0.10416893,3.79,36.934,,2.640,276,29,44,,
T,2025-11-09 09:11:51,51.52831455,0.10412079,3.79,36.846,,4.010,277,29,44,,
T,2025-11-09 09:11:52,51.52832120,0.10405739,3.79,36.848,,5.070,277,29,44,,
T,2025-11-09 09:11:53,51.52832671,0.10398360,3.79,37.022,,5.950,275,29,44,,
T,2025-11-09 09:11:54,51.52833214,0.10388965,3.79,37.346,,6.810,276,30,44,,
T,2025-11-09 09:11:55,51.52834247,0.10377805,3.79,37.000,,7.740,276,30,44,,
T,2025-11-09 09:11:56,51.52834990,0.10366470,3.79,37.500,,8.570,276,29,44,,
T,2025-11-09 09:11:57,51.52836181,0.10353471,3.79,37.152,,9.420,276,29,44,,
T,2025-11-09 09:11:58,51.52837303,0.10339226,3.79,37.490,,10.100,277,29,44,,
T,2025-11-09 09:11:59,51.52838043,0.10324841,3.79,37.540,,10.240,276,30,44,,
T,2025-11-09 09:12:00,51.52839000,0.10309604,3.79,37.786,,10.030,277,29,44,,
T,2025-11-09 09:12:01,51.52840165,0.10295760,3.79,38.358,,10.150,277,29,44,,
T,2025-11-09 09:12:02,51.52840979,0.10280220,3.79,38.401,,10.760,275,29,44,,
T,2025-11-09 09:12:03,51.52841861,0.10263956,3.79,38.375,,11.260,276,29,44,,
T,2025-11-09 09:12:04,51.52842737,0.10247313,3.79,38.781,,11.910,275,30,44,,
T,2025-11-09 09:12:05,51.52844177,0.10229345,3.79,39.139,,12.400,275,30,44,,
T,2025-11-09 09:12:06,51.52845432,0.10210811,3.79,39.396,,12.870,275,30,44,,
T,2025-11-09 09:12:07,51.52846909,0.10192536,3.79,39.365,,13.260,275,30,44,,
T,2025-11-09 09:12:08,51.52847322,0.10173158,3.79,39.258,,13.730,272,30,44,,
T,2025-11-09 09:12:09,51.52847183,0.10152404,3.79,39.481,,13.920,269,30,44,,
T,2025-11-09 09:12:10,51.52847046,0.10132581,3.79,40.143,,13.850,268,30,44,,
T,2025-11-09 09:12:11,51.52844790,0.10112020,3.79,39.956,,14.710,260,30,44,,
T,2025-11-09 09:12:12,51.52842303,0.10090916,3.79,40.815,,14.870,258,30,44,,
T,2025-11-09 09:12:13,51.52839101,0.10070744,3.79,40.765,,14.660,255,30,44,,
T,2025-11-09 09:12:14,51.52835926,0.10050047,3.79,40.831,,14.510,256,30,44,,
T,2025-11-09 09:12:15,51.52832697,0.10030674,3.79,41.427,,13.620,254,29,44,,
T,2025-11-09 09:12:16,51.52829608,0.10010817,3.79,41.466,,13.520,256,29,44,,
T,2025-11-09 09:12:17,51.52826748,0.09992222,3.79,42.108,,12.500,257,29,44,,
T,2025-11-09 09:12:18,51.52824182,0.09973684,3.79,41.041,,12.380,261,29,44,,
T,2025-11-09 09:12:19,51.52821721,0.09959401,3.79,41.792,,9.790,256,29,44,,
T,2025-11-09 09:12:20,51.52819623,0.09946120,3.79,41.670,,8.690,255,29,44,,
T,2025-11-09 09:12:21,51.52817313,0.09933992,3.79,42.091,,8.810,255,29,44,,
T,2025-11-09 09:12:22,51.52814685,0.09921800,3.79,41.976,,8.260,256,29,44,,
T,2025-11-09 09:12:23,51.52812741,0.09912003,3.79,42.393,,6.330,256,29,44,,
T,2025-11-09 09:12:24,51.52811822,0.09905286,3.79,42.296,,4.260,256,29,44,,
T,2025-11-09 09:12:25,51.52810619,0.09900919,3.79,41.510,,1.950,259,29,44,,
T,2025-11-09 09:12:26,51.52809888,0.09897673,3.79,41.760,,1.840,254,29,44,,
T,2025-11-09 09:12:27,51.52809122,0.09894698,3.79,41.814,,2.160,254,29,44,,
T,2025-11-09 09:12:28,51.52808115,0.09889301,3.79,41.777,,3.900,255,29,44,,
T,2025-11-09 09:12:29,51.52806996,0.09883202,3.79,41.762,,5.080,254,29,44,,
T,2025-11-09 09:12:30,51.52805936,0.09875130,3.79,41.747,,6.290,255,28,44,,
T,2025-11-09 09:12:31,51.52804410,0.09865745,3.79,41.884,,6.970,254,28,44,,
T,2025-11-09 09:12:32,51.52802807,0.09856590,3.79,41.979,,7.480,256,26,44,,
T,2025-11-09 09:12:33,51.52800918,0.09846740,3.79,42.086,,7.090,254,26,44,,
T,2025-11-09 09:12:34,51.52799420,0.09841717,3.79,41.713,,4.110,255,26,44,,
T,2025-11-09 09:12:35,51.52798425,0.09836724,3.79,41.640,,2.810,254,26,44,,
T,2025-11-09 09:12:36,51.52797686,0.09833844,3.79,41.800,,0.970,255,26,44,,
T,2025-11-09 09:12:37,51.52798828,0.09833489,3.79,41.637,,0.400,255,27,44,,
T,2025-11-09 09:12:38,51.52799141,0.09831733,3.79,42.101,,0.000,,27,44,,
T,2025-11-09 09:12:39,51.52799542,0.09831558,3.79,41.939,,0.000,,27,44,,
T,2025-11-09 09:12:40,51.52799662,0.09831516,3.79,42.008,,0.000,,27,44,,
T,2025-11-09 09:12:41,51.52799738,0.09831386,3.79,41.816,,0.000,,27,44,,
T,2025-11-09 09:12:42,51.52800132,0.09831295,3.79,41.400,,0.000,,27,44,,
T,2025-11-09 09:12:43,51.52800321,0.09831286,3.79,41.364,,0.000,,26,44,,
T,2025-11-09 09:12:44,51.52800622,0.09831282,3.79,41.063,,0.000,,26,44,,
T,2025-11-09 09:12:45,51.52800665,0.09831225,3.79,41.097,,0.000,,26,44,,
T,2025-11-09 09:12:46,51.52800950,0.09831381,3.79,41.049,,0.000,,26,44,,
T,2025-11-09 09:12:47,51.52801166,0.09831329,3.79,40.774,,0.000,,26,44,,
T,2025-11-09 09:12:48,51.52801298,0.09831194,3.79,40.724,,0.000,,27,44,,
T,2025-11-09 09:12:49,51.52801330,0.09831204,3.79,40.614,,0.000,,25,44,,
T,2025-11-09 09:12:50,51.52801365,0.09831248,3.79,40.544,,0.000,,24,44,,
T,2025-11-09 09:12:51,51.52801369,0.09831253,3.79,40.523,,0.000,,24,44,,
T,2025-11-09 09:12:52,51.52801375,0.09831265,3.79,40.511,,0.000,,24,44,,
T,2025-11-09 09:12:53,51.52801388,0.09831306,3.79,40.482,,0.000,,25,44,,
T,2025-11-09 09:12:54,51.52801285,0.09830104,3.79,40.824,,0.590,260,25,44,,
T,2025-11-09 09:12:55,51.52801061,0.09827072,3.79,40.473,,2.190,258,27,44,,
T,2025-11-09 09:12:56,51.52800398,0.09823208,3.79,41.491,,3.660,257,28,44,,
T,2025-11-09 09:12:57,51.52799414,0.09817657,3.79,41.924,,4.700,256,29,44,,
T,2025-11-09 09:12:58,51.52798056,0.09811236,3.79,41.886,,5.780,256,29,44,,
T,2025-11-09 09:12:59,51.52797143,0.09802737,3.79,41.900,,6.650,258,29,44,,
T,2025-11-09 09:13:00,51.52795422,0.09792663,3.79,42.016,,7.530,256,29,44,,
T,2025-11-09 09:13:01,51.52793765,0.09781744,3.79,42.400,,8.490,256,29,44,,
T,2025-11-09 09:13:02,51.52791305,0.09769381,3.79,41.882,,9.270,256,29,44,,
T,2025-11-09 09:13:03,51.52789162,0.09756682,3.79,42.338,,9.810,256,29,44,,
T,2025-11-09 09:13:04,51.52786297,0.09742215,3.79,42.481,,10.770,255,30,44,,
T,2025-11-09 09:13:05,51.52783804,0.09727572,3.79,42.329,,10.760,255,30,44,,
T,2025-11-09 09:13:06,51.52781104,0.09712752,3.79,42.358,,10.880,254,29,44,,
T,2025-11-09 09:13:07,51.52777997,0.09698834,3.79,42.344,,10.140,253,29,44,,
T,2025-11-09 09:13:08,51.52775300,0.09683462,3.92,43.232,,11.080,257,29,44,,
T,2025-11-09 09:13:09,51.52772582,0.09665295,3.79,42.482,,12.140,256,29,44,,
T,2025-11-09 09:13:10,51.52769835,0.09648976,3.79,41.930,,11.310,256,27,44,,
T,2025-11-09 09:13:11,51.52766968,0.09631667,3.79,41.292,,12.030,257,27,44,,
T,2025-11-09 09:13:12,51.52764367,0.09614773,3.79,41.664,,11.960,257,27,44,,
T,2025-11-09 09:13:13,51.52762986,0.09597389,3.79,41.092,,12.060,257,26,44,,
T,2025-11-09 09:13:14,51.52760448,0.09582453,3.91,41.606,,11.500,257,27,44,,
T,2025-11-09 09:13:15,51.52757973,0.09566091,3.79,41.384,,10.990,257,26,44,,
T,2025-11-09 09:13:16,51.52756344,0.09551925,3.79,42.386,,10.390,256,28,44,,
T,2025-11-09 09:13:17,51.52753555,0.09541474,3.79,42.370,,8.450,251,28,44,,
T,2025-11-09 09:13:18,51.52752018,0.09528992,3.79,42.404,,7.220,256,28,44,,
T,2025-11-09 09:13:19,51.52749899,0.09519286,3.79,41.808,,6.050,251,29,44,,
T,2025-11-09 09:13:20,51.52749092,0.09513933,3.79,42.132,,3.860,254,30,44,,
T,2025-11-09 09:13:21,51.52748632,0.09510242,3.79,42.607,,1.420,256,30,44,,
T,2025-11-09 09:13:22,51.52748136,0.09509268,3.79,42.523,,0.770,256,30,44,,
T,2025-11-09 09:13:23,51.52747892,0.09508967,3.79,41.711,,0.000,,30,44,,
T,2025-11-09 09:13:24,51.52748076,0.09509070,3.79,41.273,,0.000,,30,44,,
T,2025-11-09 09:13:25,51.52748167,0.09509416,3.79,41.680,,0.000,,30,44,,
T,2025-11-09 09:13:26,51.52748043,0.09509717,3.79,41.930,,0.000,,29,44,,
T,2025-11-09 09:13:27,51.52748204,0.09509741,3.79,42.163,,0.000,,29,44,,
T,2025-11-09 09:13:28,51.52748116,0.09509913,3.79,42.641,,0.000,,29,44,,
T,2025-11-09 09:13:29,51.52748025,0.09510124,3.79,42.850,,0.000,,29,44,,
T,2025-11-09 09:13:30,51.52748089,0.09510285,3.79,42.922,,0.000,,29,44,,
T,2025-11-09 09:13:31,51.52748112,0.09510018,3.79,42.739,,0.000,,28,44,,
T,2025-11-09 09:13:32,51.52747968,0.09509921,3.79,42.817,,0.000,,28,44,,
T,2025-11-09 09:13:33,51.52746124,0.09503106,3.79,42.268,,4.660,257,26,44,,
T,2025-11-09 09:13:34,51.52745501,0.09496754,3.79,40.702,,4.830,257,27,44,,
T,2025-11-09 09:13:35,51.52745120,0.09492043,3.79,41.386,,3.720,260,28,44,,
T,2025-11-09 09:13:36,51.52742798,0.09482063,3.79,41.264,,6.880,257,28,44,,
T,2025-11-09 09:13:37,51.52741363,0.09471832,3.79,41.480,,6.980,255,29,44,,
T,2025-11-09 09:13:38,51.52740259,0.09459248,3.79,39.555,,8.330,251,29,44,,
T,2025-11-09 09:13:39,51.52738262,0.09449669,3.79,39.668,,7.220,252,29,44,,
T,2025-11-09 09:13:40,51.52737178,0.09439570,3.79,40.522,,6.670,261,29,44,,
T,2025-11-09 09:13:41,51.52737547,0.09429776,3.79,40.826,,6.390,271,29,44,,
T,2025-11-09 09:13:42,51.52738417,0.09419756,3.79,40.673,,6.530,287,29,44,,
T,2025-11-09 09:13:43,51.52741527,0.09412726,3.79,41.809,,6.470,312,29,44,,
T,2025-11-09 09:13:44,51.52746072,0.09405904,3.79,42.460,,7.070,326,29,44,,
T,2025-11-09 09:13:45,51.52751398,0.09401934,3.79,42.636,,7.190,332,29,44,,
T,2025-11-09 09:13:46,51.52758514,0.09399145,3.79,42.064,,8.640,348,29,44,,
T,2025-11-09 09:13:47,51.52765095,0.09395996,3.79,42.208,,8.240,344,29,44,,
T,2025-11-09 09:13:48,51.52773750,0.09391935,3.79,42.852,,9.380,346,28,44,,
T,2025-11-09 09:13:49,51.52780878,0.09389151,3.79,42.932,,8.220,346,28,44,,
T,2025-11-09 09:13:50,51.52787545,0.09386672,3.79,43.674,,7.180,343,29,44,,
T,2025-11-09 09:13:51,51.52792183,0.09384407,3.79,43.561,,5.640,345,30,44,,
T,2025-11-09 09:13:52,51.52797337,0.09382988,3.79,43.547,,5.130,346,30,44,,
T,2025-11-09 09:13:53,51.52801328,0.09381814,3.79,42.958,,4.330,342,31,44,,
T,2025-11-09 09:13:54,51.52804650,0.09381037,3.79,42.595,,3.410,347,31,44,,
T,2025-11-09 09:13:55,51.52806335,0.09380158,3.79,41.441,,1.510,342,31,44,,
T,2025-11-09 09:13:56,51.52807569,0.09379365,3.79,41.382,,0.830,342,30,44,,
T,2025-11-09 09:13:57,51.52807438,0.09379603,3.81,41.601,,0.000,,30,44,,
T,2025-11-09 09:13:58,51.52807265,0.09379613,3.85,41.512,,0.000,,30,44,,
T,2025-11-09 09:13:59,51.52807341,0.09379797,3.84,41.732,,0.000,,30,44,,
T,2025-11-09 09:14:00,51.52807314,0.09379858,3.86,41.889,,0.000,,29,44,,
T,2025-11-09 09:14:01,51.52807277,0.09380005,3.83,42.227,,0.000,,28,44,,
T,2025-11-09 09:14:02,51.52807385,0.09379957,3.79,42.297,,0.000,,28,44,,
T,2025-11-09 09:14:03,51.52807294,0.09380017,3.79,42.283,,0.000,,28,44,,
T,2025-11-09 09:14:04,51.52807257,0.09380266,3.79,42.575,,0.000,,28,44,,
T,2025-11-09 09:14:05,51.52807003,0.09380354,3.79,42.499,,0.000,,28,44,,
T,2025-11-09 09:14:06,51.52806885,0.09380554,3.79,42.483,,0.000,,27,44,,
T,2025-11-09 09:14:07,51.52806617,0.09380661,3.79,42.400,,0.000,,28,44,,
T,2025-11-09 09:14:08,51.52806403,0.09380739,3.79,42.380,,0.000,,28,44,,
T,2025-11-09 09:14:09,51.52806383,0.09380780,3.79,42.471,,0.000,,28,44,,
T,2025-11-09 09:14:10,51.52806415,0.09380754,3.79,42.456,,0.000,,26,44,,
T,2025-11-09 09:14:11,51.52806415,0.09380753,3.79,42.454,,0.000,,27,44,,
T,2025-11-09 09:14:12,51.52806414,0.09380751,3.79,42.453,,0.000,,27,44,,
T,2025-11-09 09:14:13,51.52806397,0.09380756,3.79,42.507,,0.000,,27,44,,
T,2025-11-09 09:14:14,51.52806393,0.09380774,3.79,42.509,,0.000,,27,44,,
T,2025-11-09 09:14:15,51.52806389,0.09380768,3.79,42.509,,0.000,,27,44,,
T,2025-11-09 09:14:16,51.52806388,0.09380779,3.79,42.513,,0.000,,27,44,,
T,2025-11-09 09:14:17,51.52806386,0.09380782,3.79,42.511,,0.000,,27,44,,
T,2025-11-09 09:14:18,51.52806392,0.09380782,3.79,42.510,,0.000,,27,44,,
T,2025-11-09 09:14:19,51.52806369,0.09380807,3.79,42.525,,0.000,,26,44,,
T,2025-11-09 09:14:20,51.52806369,0.09380809,3.79,42.525,,0.000,,22,44,,
T,2025-11-09 09:14:21,51.52806368,0.09380812,3.79,42.525,,0.000,,22,44,,
T,2025-11-09 09:14:22,51.52806369,0.09380819,3.79,42.527,,0.000,,21,44,,
T,2025-11-09 09:14:23,51.52806363,0.09380828,3.79,42.532,,0.000,,20,44,,
T,2025-11-09 09:14:24,51.52806361,0.09380831,3.79,42.531,,0.000,,20,44,,
T,2025-11-09 09:14:25,51.52806347,0.09380854,9.94,42.547,,0.000,,21,44,,
T,2025-11-09 09:14:26,51.52806344,0.09380886,9.94,42.531,,0.000,,23,44,,
T,2025-11-09 09:14:27,51.52806339,0.09380915,9.94,42.519,,0.000,,27,44,,
T,2025-11-09 09:14:28,51.52806310,0.09380967,9.94,42.524,,0.000,,27,44,,
T,2025-11-09 09:14:29,51.52806286,0.09381027,9.94,42.518,,0.000,,29,44,,
T,2025-11-09 09:14:30,51.52806255,0.09381073,9.94,42.546,,0.000,,29,44,,
T,2025-11-09 09:14:31,51.52806258,0.09381089,9.94,42.560,,0.000,,29,44,,
T,2025-11-09 09:14:32,51.52806258,0.09381103,9.94,42.567,,0.000,,29,44,,
T,2025-11-09 09:14:33,51.52806227,0.09381150,9.94,42.567,,0.000,,29,44,,
T,2025-11-09 09:14:34,51.52806212,0.09381171,9.94,42.588,,0.000,,29,44,,
T,2025-11-09 09:14:35,51.52806196,0.09381195,9.94,42.609,,0.000,,29,44,,
T,2025-11-09 09:14:36,51.52806201,0.09381201,9.94,42.623,,0.000,,29,44,,
T,2025-11-09 09:14:37,51.52806204,0.09381208,9.94,42.630,,0.000,,29,44,,
T,2025-11-09 09:14:38,51.52806194,0.09381226,9.94,42.648,,0.000,,27,44,,
T,2025-11-09 09:14:39,51.52806189,0.09381240,9.94,42.658,,0.000,,27,44,,
T,2025-11-09 09:14:40,51.52806183,0.09381256,9.94,42.677,,0.000,,28,44,,
T,2025-11-09 09:14:41,51.52806180,0.09381267,9.94,42.688,,0.000,,29,44,,
T,2025-11-09 09:14:42,51.52806177,0.09381279,9.94,42.702,,0.000,,29,44,,
T,2025-11-09 09:14:43,51.52806175,0.09381289,9.94,42.715,,0.000,,29,44,,
T,2025-11-09 09:14:44,51.52806177,0.09381292,9.94,42.730,,0.000,,28,44,,
T,2025-11-09 09:14:45,51.52806176,0.09381299,9.94,42.742,,0.000,,28,44,,
T,2025-11-09 09:14:46,51.52806176,0.09381309,9.94,42.756,,0.000,,28,44,,
T,2025-11-09 09:14:47,51.52806175,0.09381316,9.94,42.766,,0.000,,29,44,,
T,2025-11-09 09:14:48,51.52806172,0.09381325,9.94,42.772,,0.000,,29,44,,
T,2025-11-09 09:14:49,51.52806171,0.09381338,9.94,42.785,,0.000,,29,44,,
T,2025-11-09 09:14:50,51.52806171,0.09381348,9.94,42.797,,0.000,,29,44,,
T,2025-11-09 09:14:51,51.52806170,0.09381357,9.94,42.809,,0.000,,29,44,,
T,2025-11-09 09:14:52,51.52806172,0.09381366,9.94,42.819,,0.000,,29,44,,
T,2025-11-09 09:14:53,51.52806173,0.09381374,9.94,42.829,,0.000,,28,44,,
T,2025-11-09 09:14:54,51.52806173,0.09381381,9.94,42.837,,0.000,,28,44,,
T,2025-11-09 09:14:55,51.52806171,0.09381390,9.94,42.845,,0.000,,28,44,,
T,2025-11-09 09:14:56,51.52806171,0.09381399,9.94,42.854,,0.000,,28,44,,
T,2025-11-09 09:14:57,51.52806169,0.09381409,9.94,42.866,,0.000,,28,44,,
T,2025-11-09 09:14:58,51.52806165,0.09381419,9.94,42.874,,0.000,,28,45,,
T,2025-11-09 09:14:59,51.52806158,0.09381434,9.94,42.883,,0.000,,29,45,,
T,2025-11-09 09:15:00,51.52806156,0.09381440,9.94,42.888,,0.000,,29,45,,
T,2025-11-09 09:15:01,51.52806155,0.09381448,9.94,42.892,,0.000,,29,45,,
T,2025-11-09 09:15:02,51.52806144,0.09381457,9.94,42.889,,0.000,,29,45,,
T,2025-11-09 09:15:03,51.52806141,0.09381460,3.79,42.888,,0.000,,30,45,,
T,2025-11-09 09:15:04,51.52806143,0.09381464,3.79,42.889,,0.000,,30,45,,
T,2025-11-09 09:15:05,51.52806146,0.09381470,3.79,42.888,,0.000,,29,45,,
T,2025-11-09 09:15:06,51.52806148,0.09381474,3.79,42.887,,0.000,,29,45,,
T,2025-11-09 09:15:07,51.52806150,0.09381478,3.79,42.885,,0.000,,29,45,,
T,2025-11-09 09:15:08,51.52806152,0.09381480,3.79,42.883,,0.000,,28,45,,
T,2025-11-09 09:15:09,51.52806154,0.09381481,3.79,42.884,,0.000,,28,45,,
T,2025-11-09 09:15:10,51.52806156,0.09381482,3.79,42.882,,0.000,,27,45,,
T,2025-11-09 09:15:11,51.52806157,0.09381489,3.79,42.888,,0.000,,25,45,,
T,2025-11-09 09:15:12,51.52806157,0.09381489,3.79,42.887,,0.000,,27,45,,
T,2025-11-09 09:15:13,51.52806154,0.09381501,3.79,42.895,,0.000,,29,45,,
T,2025-11-09 09:15:14,51.52806152,0.09381509,3.79,42.898,,0.000,,29,45,,
T,2025-11-09 09:15:15,51.52806151,0.09381511,3.79,42.897,,0.000,,29,45,,
T,2025-11-09 09:15:16,51.52806158,0.09381520,3.79,42.906,,0.000,,30,45,,
T,2025-11-09 09:15:17,51.52806161,0.09381534,3.79,42.920,,0.000,,30,45,,
T,2025-11-09 09:15:18,51.52806163,0.09381537,3.79,42.922,,0.000,,30,45,,
T,2025-11-09 09:15:19,51.52806162,0.09381537,3.79,42.928,,0.000,,30,45,,
T,2025-11-09 09:15:20,51.52806152,0.09381535,3.79,42.922,,0.000,,30,45,,
